id,name,desc,PreviewWeaponModel,PreviewWeaponDisplay,icon,showimage,model,modelFemale,pickup,PickupSound,type,level,inbagornot,stack,capacity,refid,AvatarRefId,candrop,instantuse,CountLimitInBag,ItemScore
10,TXT_ITEM_G18,TXT_ITEM_DESC_G18,Preview_G18,1,Icon_weapon_G18,Icon_slot_G18,INGAME_WEAPON_G18,INGAME_WEAPON_G18,INGAME_PICKUP_G18,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,10,208,1,0,0,0
11,TXT_ITEM_M14,T_32_U_M14_DESC,Preview_M14,1,Icon_weapon_M14,Icon_slot_M14,INGAME_WEAPON_M14,INGAME_WEAPON_M14,INGAME_PICKUP_M14,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,11,209,1,0,0,0
12,TXT_ITEM_SCAR,TXT_ITEM_DESC_SCAR,Preview_SCAR,1,Icon_weapon_SCAR,Icon_slot_SCAR,INGAME_WEAPON_SCAR,INGAME_WEAPON_SCAR,INGAME_PICKUP_SCAR,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,12,210,1,0,0,0
13,TXT_ITEM_VSS,T_32_U_VSS_DESC,Preview_VSS,1,Icon_weapon_VSS,Icon_slot_VSS,INGAME_WEAPON_VSS,INGAME_WEAPON_VSS,INGAME_PICKUP_VSS,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,13,211,1,0,0,0
14,TXT_ITEM_GROZA,TXT_ITEM_DESC_GROZA,Preview_Groza,1,Icon_weapon_GROZA,Icon_slot_GROZA,INGAME_WEAPON_GROZA,INGAME_WEAPON_GROZA,INGAME_PICKUP_GROZA,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,14,212,1,0,0,3
15,TXT_ITEM_MP40,TXT_ITEM_DESC_MP40,Preview_MP40,1,Icon_weapon_MP40,Icon_slot_MP40,INGAME_WEAPON_MP40,INGAME_WEAPON_MP40,INGAME_PICKUP_MP40,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,15,213,1,0,0,0
16,TXT_ITEM_CHANGUO,TXT_ITEM_DESC_CHANGUO,Preview_Pan,1,Icon_weapon_Changuo,Icon_slot_Changuo,INGAME_WEAPON_CHANGUO,INGAME_WEAPON_CHANGUO,INGAME_PICKUP_CHANGUO,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,16,214,1,0,0,0
17,TXT_ITEM_MACHETE,TXT_ITEM_DESC_MACHETE,Preview_Machete,1,Icon_weapon_Machete,Icon_slot_Machete,INGAME_WEAPON_MACHETE,INGAME_WEAPON_MACHETE,INGAME_PICKUP_MACHETE,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,17,215,1,0,0,0
18,TXT_ITEM_SKS,TXT_ITEM_DESC_SKS,Preview_SKS,1,Icon_weapon_SKS,Icon_slot_SKS,INGAME_WEAPON_SKS,INGAME_WEAPON_SKS,INGAME_PICKUP_SKS,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,18,216,1,0,0,0
19,TXT_ITEM_M249,TXT_ITEM_DESC_M249,Preview_M249,1,Icon_weapon_M249,Icon_slot_M249,INGAME_WEAPON_M249,INGAME_WEAPON_M249,INGAME_PICKUP_M249,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,19,217,1,0,0,3
20,TXT_ITEM_M1873,TXT_ITEM_DESC_M1873,Preview_M1873,1,Icon_weapon_M1873,Icon_slot_M1873,INGAME_WEAPON_M1873,INGAME_WEAPON_M1873,INGAME_PICKUP_M1873,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,20,218,1,0,0,0
21,TXT_ITEM_KAR98K,T_32_U_KAR98K_DESC,Preview_Kar98k,1,Icon_weapon_Kar98k,Icon_slot_Kar98k,INGAME_WEAPON_Kar98k,INGAME_WEAPON_Kar98k,INGAME_PICKUP_Kar98k,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,21,219,1,0,0,0
22,TXT_ITEM_CROSSBOW,TXT_ITEM_DESC_CROSSBOW,Preview_Crossbow,1,Icon_weapon_Crossbow,Icon_slot_Crossbow,INGAME_WEAPON_Crossbow,INGAME_WEAPON_Crossbow,INGAME_PICKUP_Crossbow,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,22,220,1,0,0,0
23,TXT_ITEM_M79,TXT_ITEM_DESC_M79,Preview_M79,1,Icon_weapon_M79,Icon_slot_M79,INGAME_WEAPON_M79,INGAME_WEAPON_M79,INGAME_PICKUP_M79,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,23,221,1,0,0,3
24,TXT_ITEM_FAMAS,T_32_U_FAMAS_DESC,Preview_FAMAS,1,Icon_weapon_Famas,Icon_slot_Famas,INGAME_WEAPON_FAMAS,INGAME_WEAPON_FAMAS,INGAME_PICKUP_FAMAS,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,24,222,1,0,0,0
25,TXT_ITEM_M500,TXT_ITEM_DESC_M500,Preview_M500,1,Icon_weapon_M500,Icon_slot_M500,INGAME_WEAPON_M500,INGAME_WEAPON_M500,INGAME_PICKUP_M500,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,25,223,1,0,0,0
26,TXT_ITEM_SVD,TXT_ITEM_DESC_SVD,Preview_SVD,1,Icon_weapon_SVD,Icon_slot_SVD,INGAME_WEAPON_SVD,INGAME_WEAPON_SVD,INGAME_PICKUP_SVD,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,26,224,1,0,0,3
27,TXT_ITEM_BASEBALLPOLE,TXT_ITEM_DESC_BASEBALLPOLE,Preview_Baseballbat,1,Icon_weapon_BASEBALLPOLE,Icon_slot_BASEBALLPOLE,INGAME_WEAPON_BASEBALLPOLE,INGAME_WEAPON_BASEBALLPOLE,INGAME_PICKUP_BASEBALLPOLE,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,27,225,1,0,0,0
28,TXT_ITEM_XM8,TXT_ITEM_DESC_XM8,Preview_XM8,1,Icon_weapon_Xm8,Icon_slot_Xm8,INGAME_WEAPON_XM8,INGAME_WEAPON_XM8,INGAME_PICKUP_XM8,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,28,226,1,0,0,0
29,TXT_ITEM_SPAS12,TXT_ITEM_DESC_SPAS12,Preview_SPAS12,1,Icon_weapon_SPAS12,Icon_slot_SPAS12,INGAME_WEAPON_SPAS12,INGAME_WEAPON_SPAS12,INGAME_PICKUP_SPAS12,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,29,227,1,0,0,0
30,TXT_OB10_HQW_ITEM_M60,T_32_U_M60_DESC,Preview_M60,1,Icon_weapon_M60,Icon_slot_M60,INGAME_WEAPON_M60,INGAME_WEAPON_M60,INGAME_PICKUP_M60,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,30,228,1,0,0,0
31,TXT_OB11_HQW_ITEM_MGL140,TXT_OB11_HQW_ITEM_DESC_MGL140,Preview_MGL140,1,Icon_weapon_MGL140,Icon_slot_MGL140,INGAME_WEAPON_MGL140,INGAME_WEAPON_MGL140,INGAME_PICKUP_MGL140,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,31,229,1,0,0,0
32,TXT_OB11_HQW_ITEM_P90,TXT_OB11_HQW_ITEM_DESC_P90,Preview_P90,1,Icon_weapon_P90,Icon_slot_P90,INGAME_WEAPON_P90,INGAME_WEAPON_P90,INGAME_PICKUP_P90,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,32,230,1,0,0,0
33,T_12_Q_ITEM_AN94,T_12_Q_ITEM_DESC_AN94,Preview_AN94,1,Icon_weapon_AN94,Icon_slot_AN94,INGAME_WEAPON_AN94,INGAME_WEAPON_AN94,INGAME_PICKUP_AN94,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,33,232,1,0,0,0
34,T_14_G_ITEM_KATANA,T_14_G_ITEM_DESC_KATANA,Preview_Katana,1,Icon_weapon_Katana,Icon_slot_Katana,INGAME_WEAPON_KATANA,INGAME_WEAPON_KATANA,INGAME_PICKUP_KATANA,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,34,233,1,0,0,0
35,T_15_Q_ITEM_CG15,T_15_Q_ITEM_DESC_CG15,Preview_CG15,1,Icon_weapon_CG15,Icon_slot_CG15,INGAME_WEAPON_CG15,INGAME_WEAPON_CG15,INGAME_PICKUP_CG15,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,35,234,1,0,0,0
36,T_14_Q_ITEM_RGS50,T_14_Q_ITEM_DESC_RGS50,Preview_Track_GrenadeLauncher,1,Icon_weapon_RGS50,Icon_slot_RGS50,INGAME_WEAPON_RGS50,INGAME_WEAPON_RGS50,INGAME_PICKUP_RGS50,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,36,235,1,0,0,0
37,T_15_Q_ITEM_GATLING,T_15_Q_ITEM_DESC_GATLING,Preview_Gatling,1,Icon_weapon_Gatling,Icon_slot_Gatling,INGAME_WEAPON_GATLING,INGAME_WEAPON_GATLING,INGAME_PICKUP_GATLING,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,37,236,1,0,0,0
38,T_16_B_ITEM_GRAPPLINGHOOKGUN,T_16_B_ITEM_DESC_GRAPPLINGHOOKGUN,Preview_GrapplingHookGun,1,Icon_weapon_GrapplingHookGun,Icon_slot_GrapplingHookGun,INGAME_WEAPON_GrapplingHookGun,INGAME_WEAPON_GrapplingHookGun,INGAME_PICKUP_GrapplingHookGun,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,38,302,1,0,0,0
39,T_17_Q_SUPERHEAT,T_32_U_SUPERHEAT_DESC,Preview_Superheat_Gun,1,Icon_weapon_Superheat,Icon_slot_Superheat,INGAME_WEAPON_HEAT_GUN,INGAME_WEAPON_HEAT_GUN,INGAME_PICKUP_SUPERHEAT,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,39,238,1,0,0,0
40,T_18_B_THROWINGKNIFE_NAME,T_18_B_THROWINGKNIFE_DES,Preview_ThrowingKnife,1,Icon_weapon_ThrowingKnife,Icon_weapon_ThrowingKnife,INGAME_WEAPON_THROWINGKNIFE,INGAME_WEAPON_THROWINGKNIFE,INGAME_PICKUP_THROWINGKNIFE,SOUND_ACTION_PICKUP_WEAPON,0,1,1,1,0,40,,1,0,0,0
41,T_18_U_WEAPON_M1887_NAME,T_18_U_WEAPON_M1887_DESC,Preview_M1887,1,Icon_weapon_M1887,Icon_slot_M1887,INGAME_WEAPON_M1887,INGAME_WEAPON_M1887,INGAME_PICKUP_M1887,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,41,242,1,0,0,5
42,T_18_B_THROWINGKNIFE_NAME,T_18_B_THROWINGKNIFE_DES,Preview_ThrowingKnife,1,Icon_weapon_ThrowingKnife,Icon_weapon_ThrowingKnife,INGAME_WEAPON_THROWINGKNIFE,INGAME_WEAPON_THROWINGKNIFE,INGAME_PICKUP_THROWINGKNIFE,SOUND_ACTION_PICKUP_WEAPON,0,1,1,1,0,42,,1,0,0,0
43,T_21_U_WEAPON_THOMPSON_NAME,T_21_U_WEAPON_THOMPSON_DESC,Preview_Thompson,1,Icon_weapon_Thompson,Icon_slot_Thompson,INGAME_WEAPON_THOMPSON,INGAME_WEAPON_THOMPSON,INGAME_PICKUP_THOMPSON,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,43,245,1,0,0,0
44,T_16_B_ITEM_GRAPPLINGHOOKGUN,T_16_B_ITEM_DESC_GRAPPLINGHOOKGUN,Preview_GrapplingHookGun,1,Icon_weapon_GrapplingHookGun,Icon_slot_GrapplingHookGun,INGAME_WEAPON_GrapplingHookGun,INGAME_WEAPON_GrapplingHookGun,INGAME_PICKUP_GrapplingHookGun,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,44,303,1,0,0,0
45,T_22_C_BLT_NAME,T_22_C_BLT_DESC,Preview_BM94,1,Icon_weapon_BM94,Icon_slot_BM94,INGAME_WEAPON_BM94,INGAME_WEAPON_BM94,INGAME_PICKUP_BM94,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,45,246,1,0,0,5
46,T_23_U_AUG,T_23_U_AUG_DESC,Preview_AUG,1,Icon_weapon_AUG,Icon_slot_AUG,INGAME_WEAPON_AUG,INGAME_WEAPON_AUG,INGAME_PICKUP_AUG,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,46,247,1,0,0,0
47,T_24_U_PARAFAL,T_24_U_PARAFAL_DESC,Preview_ParaFAL,1,Icon_weapon_PARAFAL,Icon_slot_PARAFAL,INGAME_WEAPON_PARAFAL,INGAME_WEAPON_PARAFAL,INGAME_PICKUP_PARAFAL,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,47,248,1,0,0,0
48,T_24_U_M21A5,T_24_U_M21A5_DESC,Preview_M21A5,1,Icon_weapon_M21A5,Icon_slot_M21A5,INGAME_WEAPON_M21A5,INGAME_WEAPON_M21A5,INGAME_PICKUP_M21A5,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,48,249,1,0,0,0
49,T_25_U_VECTOR,T_25_U_VECTOR_DESC,Preview_Vector,1,Icon_weapon_VECTOR,Icon_slot_VECTOR,INGAME_WEAPON_VECTOR,INGAME_WEAPON_VECTOR,INGAME_PICKUP_VECTOR,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,49,250,1,0,0,0
50,T_25_U_MAG7,T_25_U_MAG7_DESC,Preview_MAG7,1,Icon_weapon_MAG7,Icon_slot_MAG7,INGAME_WEAPON_MAG7,INGAME_WEAPON_MAG7,INGAME_PICKUP_MAG7,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,50,251,1,0,0,0
51,T_25_U_SICKLE,T_25_U_SICKLE_DESC,Preview_Sickle,1,Icon_weapon_Sickle,Icon_slot_Sickle,INGAME_WEAPON_SICKLE,INGAME_WEAPON_SICKLE,INGAME_PICKUP_SICKLE,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,51,252,1,0,0,0
52,T_26_V_TRAINING_BHH,T_26_V_TRAINING_BHH_DESC,,0,Icon_Ingame_BigHeadHammer,Icon_slot_Hammer,INGAME_WEAPON_BIGHEADHAMMER,INGAME_WEAPON_BIGHEADHAMMER,INGAME_WEAPON_BIGHEADHAMMER,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,52,253,1,0,0,0
53,T_18_B_THROWINGKNIFE_NAME,T_18_B_THROWINGKNIFE_DES,Preview_ThrowingKnife,1,Icon_weapon_ThrowingKnife,Icon_slot_ThrowingKnife,INGAME_WEAPON_THROWINGKNIFE,INGAME_WEAPON_THROWINGKNIFE,INGAME_PICKUP_THROWINGKNIFE_BR,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,53,254,1,0,0,0
54,T_27_U_KORD,T_27_U_KORD_SESC,Preview_Kord,1,Icon_weapon_Kord,Icon_slot_Kord,INGAME_WEAPON_KORD,INGAME_WEAPON_KORD,INGAME_PICKUP_KORD,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,54,255,1,0,0,0
55,T_27_U_M1917,T_27_U_M1917_DESC,Preview_M1917,1,Icon_weapon_M1917,Icon_slot_M1917,INGAME_WEAPON_M1917,INGAME_WEAPON_M1917,INGAME_PICKUP_M1917,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,55,256,1,0,0,0
56,T_27_U_WSP,T_27_U_WSP_DESC,,1,Icon_weapon_MUSP,Icon_slot_MUSP,INGAME_WEAPON_USP,INGAME_WEAPON_USP,INGAME_PICKUP_WSP,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,56,257,1,0,0,0
57,T_28_YF_AR15,T_28_YF_AR15_DESC,Preview_AR15,1,Icon_weapon_AR15,Icon_slot_AR15,INGAME_WEAPON_AR15,INGAME_WEAPON_AR15,INGAME_PICKUP_AR15,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,57,258,1,0,0,0
58,T_28_HI_UZI,T_28_HI_UZI_DESC,Preview_UZI,1,Icon_weapon_UZI,Icon_slot_UZI,INGAME_WEAPON_UZI,INGAME_WEAPON_UZI,INGAME_PICKUP_UZI,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,58,259,1,0,0,0
59,T_18_B_THROWINGKNIFE_NAME,T_18_B_THROWINGKNIFE_DES,Preview_ThrowingKnife,1,Icon_weapon_ThrowingKnife,Icon_weapon_ThrowingKnife,INGAME_WEAPON_THROWINGKNIFE,INGAME_WEAPON_THROWINGKNIFE,INGAME_PICKUP_THROWINGKNIFE,SOUND_ACTION_PICKUP_WEAPON,0,1,1,1,0,59,,1,0,0,0
60,T_22_U_GOLD_MP5_N,T_22_U_GOLD_MP5_D,Preview_MP5,0,Icon_weapon_MP5,Icon_slot_MP5,INGAME_WEAPON_MP5,INGAME_WEAPON_MP5,INGAME_PICKUP_MP5_GOLDGUN,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,60,206,1,0,0,2
61,T_22_U_GOLD_M60_N,T_22_U_GOLD_M60_D,,0,Icon_weapon_M60,Icon_slot_M60,INGAME_WEAPON_M60,INGAME_WEAPON_M60,INGAME_PICKUP_M60_GOLDGUN,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,61,228,1,0,0,2
62,T_22_U_GOLD_VSS_N,T_25_U_GOLD_VSS_D,,0,Icon_weapon_VSS,Icon_slot_VSS,INGAME_WEAPON_VSS,INGAME_WEAPON_VSS,INGAME_PICKUP_VSS_GOLDGUN,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,62,211,1,0,0,2
63,T_22_U_GOLD_M14_N,T_22_U_GOLD_M14_D,,0,Icon_weapon_M14,Icon_slot_M14,INGAME_WEAPON_M14,INGAME_WEAPON_M14,INGAME_PICKUP_M14_GOLDGUN,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,63,209,1,0,0,2
64,T_22_U_GOLD_98K_N,T_22_U_GOLD_98K_D,,0,Icon_weapon_Kar98k,Icon_slot_Kar98k,INGAME_WEAPON_Kar98k,INGAME_WEAPON_Kar98k,INGAME_PICKUP_KAR98K_GOLDGUN,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,64,219,1,0,0,2
65,T_22_U_GOLD_AWM_N,T_22_U_GOLD_AWM_D,,0,Icon_weapon_AWM,Icon_slot_AWM,INGAME_WEAPON_AWM,INGAME_WEAPON_AWM,INGAME_PICKUP_AWM_GOLDGUN,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,65,202,1,0,0,5
66,T_22_U_GOLD_HEAT_N,T_22_U_GOLD_HEAT_D,,0,Icon_weapon_Superheat,Icon_slot_Superheat,INGAME_WEAPON_HEAT_GUN,INGAME_WEAPON_HEAT_GUN,INGAME_PICKUP_SUPERHEAT_GOLDGUN,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,66,238,1,0,0,2
67,T_26_U_GOLD_FAMAS_N,T_26_U_GOLD_FAMAS_D,Preview_FAMAS,1,Icon_weapon_Famas,Icon_slot_Famas,INGAME_WEAPON_FAMAS,INGAME_WEAPON_FAMAS,INGAME_PICKUP_FAMAS_GOLDGUN,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,67,222,1,0,0,2
68,TecGun2,T_29_ZY_TECGUN_DESC,Preview_TecGun,1,Icon_weapon_TecGun,Icon_slot_TecGun,INGAME_WEAPON_TecGun,INGAME_WEAPON_TecGun,INGAME_PICKUP_TecGun,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,68,260,1,0,0,0
69,T_25_U_VECTOR,T_25_U_VECTOR_DESC,Preview_Vector,1,Icon_weapon_DoubleVector,Icon_slot_VECTOR,INGAME_WEAPON_VECTOR,INGAME_WEAPON_VECTOR,INGAME_PICKUP_VECTOR,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,69,250,1,0,0,0
70,T_32_YF_GOLD_GROZA_N,T_32_YF_GOLD_GROZA_D,Preview_Groza,1,Icon_weapon_GROZA,Icon_slot_GROZA,INGAME_WEAPON_GROZA,INGAME_WEAPON_GROZA,INGAME_PICKUP_GROZA,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,70,212,1,0,0,10
71,T_32_YF_GOLD_M249_N,T_32_YF_GOLD_M249_D,Preview_M249,1,Icon_weapon_M249,Icon_slot_M249,INGAME_WEAPON_M249,INGAME_WEAPON_M249,INGAME_PICKUP_M249,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,71,217,1,0,0,10
72,T_32_YF_GOLD_SVD_N,T_32_YF_GOLD_SVD_D,Preview_SVD,1,Icon_weapon_SVD,Icon_slot_SVD,INGAME_WEAPON_SVD,INGAME_WEAPON_SVD,INGAME_PICKUP_SVD,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,72,224,1,0,0,10
73,T_22_U_UMP_N,T_22_U_UMP_D,,0,Icon_weapon_UMP,Icon_slot_UMP,INGAME_WEAPON_UMP45,INGAME_WEAPON_UMP45,INGAME_PICKUP_UMP,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,73,205,1,0,0,0
74,T_22_U_MP40_N,T_22_U_MP40_D,,0,Icon_weapon_MP40,Icon_slot_MP40,INGAME_WEAPON_MP40,INGAME_WEAPON_MP40,INGAME_PICKUP_MP40,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,74,213,1,0,0,0
75,T_30_YF_Healinggun_Sniper_N,T_30_YF_Healinggun_Sniper_D,Preview_HealingFire,0,Icon_weapon_HealingFire,Icon_slot_HealingFire,INGAME_WEAPON_HealingFire,INGAME_WEAPON_HealingFire,INGAME_PICKUP_HealingFire,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,75,308,1,0,0,0
76,T_30_YF_Healinggun_Sniper_N,T_30_YF_Healinggun_Sniper_D,Preview_HealingRifle,1,Icon_weapon_HealingRifle,Icon_slot_HealingRifle,INGAME_WEAPON_HealingRifle,INGAME_WEAPON_HealingRifle,INGAME_PICKUP_HealingRifle,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,76,309,1,0,0,0
77,T_30_YF_Healinggun_Sniper_N,T_30_YF_Healinggun_Sniper_D,Preview_HealingShot,1,Icon_weapon_HealingSub,Icon_slot_HealingSub,INGAME_WEAPON_HealingShot,INGAME_WEAPON_HealingShot,INGAME_PICKUP_HealingShot,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,77,310,1,0,0,0
78,T_30_YF_Healinggun_Sniper_N,T_30_YF_Healinggun_Sniper_D,Preview_HealingSniper,1,Icon_weapon_HealingSniper,Icon_slot_HealingSniper,INGAME_WEAPON_HealingSniper,INGAME_WEAPON_HealingSniper,INGAME_PICKUP_HealingSniper,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,78,305,1,0,0,0
79,T_30_YF_Healinggun_Shot_N,T_30_YF_Healinggun_Shot_D,Preview_HealingShot,0,Icon_weapon_HealingShot,Icon_slot_HealingShot,INGAME_WEAPON_HealingShot,INGAME_WEAPON_HealingShot,INGAME_PICKUP_HealingShot,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,79,306,1,0,0,0
80,T_29_YF_GOLD_M4A1_X_N,T_29_YF_GOLD_M4A1_X_D,Preview_M4A1,1,Icon_weapon_M4A1,Icon_slot_M4A1,INGAME_WEAPON_M4A1,INGAME_WEAPON_M4A1,INGAME_PICKUP_M4A1,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,80,201,1,0,0,1
81,T_29_YF_GOLD_M4A1_Y_N,T_29_YF_GOLD_M4A1_Y_D,Preview_M4A1,1,Icon_weapon_M4A1,Icon_slot_M4A1,INGAME_WEAPON_M4A1,INGAME_WEAPON_M4A1,INGAME_PICKUP_M4A1,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,81,201,1,0,0,2
82,T_29_YF_GOLD_M4A1_Z_N,T_29_YF_GOLD_M4A1_Z_D,Preview_M4A1,1,Icon_weapon_M4A1,Icon_slot_M4A1,INGAME_WEAPON_M4A1,INGAME_WEAPON_M4A1,INGAME_PICKUP_M4A1,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,82,201,1,0,0,4
